Times,Recommended,Money
15100,0,300
200,0,
200,0,
100,0,
200,0,
200,0,
200,1,
100,1,
200,0,
200,0,
200,0,
200,0,
100,1,
200,0,
200,0,
100,0,
200,1,
200,0,
200,0,
200,0,
