Time (s),Recommended,Money ($)
2.3,0,179
0.6,0,
0.2,0,
0.2,0,
0.2,0,
0.3,0,
0.2,0,
0.2,0,
0.2,0,
0.3,1,
0.2,0,
0.2,0,
0.2,1,
0.2,0,
0.2,0,
0.2,0,
0.3,0,
0.2,0,
0.3,0,
0.2,0,
